ID_Prestamo_Unico;ID_Cliente;Fecha_Originacion;Monto_Prestamo_USD;Saldo_Actual_Prestamo_USD;Total_Pagado_Capital_USD;Monto_Mora_Sin_Cargos_USD;Cuotas_Mora;Dias_Mora_DPD;Estado_Orden;Fecha_Vencimiento_1ra_Cuota;Monto_1ra_Cuota_USD;FPD;Score_Crediticio_Usuario;Tipo_Producto_Vertical
17824644;5189883;18/03/2025;17.13;17.13;0.0;0.0;0;;IN_PROGRESS;01/04/2025;17.13;No;331.0;Supermercados
10363237;4716606;01/12/2024;40.39;0.0;40.39;0.0;0;;CLOSED;15/12/2024;40.39;No;13.0;Supermercados
13966810;8937725;14/01/2025;22.43;0.0;22.43;0.0;0;;CLOSED;28/01/2025;22.43;No;11.0;Farmacias
14353668;7882192;21/01/2025;34.31;0.0;34.31;0.0;0;;CLOSED;04/02/2025;34.31;No;16.0;Supermercados
17455477;3499039;14/03/2025;100.8;67.2;33.6;0.0;0;;IN_PROGRESS;28/03/2025;33.6;No;432.0;Tecnología
18057937;5249430;22/03/2025;38.45;38.45;0.0;0.0;0;;IN_PROGRESS;05/04/2025;12.82;No;368.0;Moda
8724674;6712035;02/11/2024;107.88;0.0;107.88;0.0;0;;CLOSED;16/11/2024;35.96;No;15.0;Moda
15048736;3087633;02/02/2025;38.49;0.0;38.49;0.0;0;;CLOSED;16/02/2025;12.83;No;456.0;Moda
17291811;8628379;11/03/2025;44.9;0.0;44.9;0.0;0;;CLOSED;25/03/2025;44.9;No;474.0;Supermercados
14019904;1534372;15/01/2025;36.05;0.0;36.05;0.0;0;;CLOSED;29/01/2025;12.02;No;435.0;Hogar
13393977;7778926;31/12/2024;49.82;0.0;49.82;0.0;0;;CLOSED;14/01/2025;16.61;No;381.0;Hogar
9396486;4984555;16/11/2024;47.1;0.0;47.1;0.0;0;;CLOSED;30/11/2024;15.7;No;286.0;Moda
12640863;9347009;24/12/2024;16.0;0.0;16.0;0.0;0;;CLOSED;07/01/2025;5.33;No;437.0;Moda
10697365;6805928;06/12/2024;10.55;0.0;10.55;0.0;0;;CLOSED;20/12/2024;3.52;No;511.0;Tecnología
13706010;8455478;07/01/2025;17.28;0.0;17.28;0.0;0;;CLOSED;21/01/2025;17.28;No;482.0;Supermercados
